,Time,Length,Is_malicious
60655,1659046852.387112,60,1
60656,1659046852.700632,66,1
74412,1659046853.0,74,1
60657,1659046853.14592,66,1
60658,1659046853.14839,66,1
60659,1659046853.148442,54,1
60660,1659046853.165963,54,1
60661,1659046853.168505,60,1
60662,1659046853.168553,54,1
60663,1659046853.636414,62,1
60664,1659046853.667288,74,1
74413,1659046854.0,74,1
60665,1659046854.78818,88,1
60666,1659046854.824532,88,1
74414,1659046855.0,74,1
60667,1659046855.147111,66,1
60668,1659046855.150147,66,1
60669,1659046855.150197,54,1
60670,1659046855.150398,54,1
60672,1659046855.152878,60,1
60671,1659046855.152878,60,1
60673,1659046855.152913,54,1
60674,1659046855.702766,74,1
60675,1659046855.730965,76,1
74415,1659046856.0,74,1
60676,1659046856.980465,1599,1
74416,1659046857.0,74,1
60677,1659046857.146777,66,1
60678,1659046857.14859,66,1
60679,1659046857.148653,54,1
60680,1659046857.148816,54,1
60682,1659046857.150817,60,1
60681,1659046857.150817,60,1
60683,1659046857.150848,54,1
60684,1659046857.251399,60,1
60685,1659046857.897184,190,1
60686,1659046857.90224,190,1
74417,1659046858.0,74,1
60687,1659046858.782113,1339,1
60688,1659046858.827081,54,1
74418,1659046859.0,74,1
60689,1659046859.144378,66,1
60690,1659046859.146029,66,1
60691,1659046859.146081,54,1
60692,1659046859.185798,54,1
60693,1659046859.187612,60,1
60694,1659046859.187652,54,1
60695,1659046859.805077,88,1
60696,1659046859.837729,88,1
74419,1659046861.0,74,1
60697,1659046861.145204,66,1
60698,1659046861.148057,66,1
60699,1659046861.148123,54,1
60700,1659046861.149958,54,1
60701,1659046861.152769,60,1
60702,1659046861.152808,54,1
74420,1659046862.0,74,1
60703,1659046862.958464,641,1
74421,1659046863.0,74,1
60704,1659046863.14819,66,1
60705,1659046863.150675,66,1
60706,1659046863.150734,54,1
60707,1659046863.150924,54,1
60708,1659046863.153424,60,1
60709,1659046863.153456,54,1
60710,1659046863.272577,641,1
60711,1659046863.276058,60,1
60712,1659046863.590633,66,1
60713,1659046863.857254,62,1
60714,1659046863.888094,74,1
74422,1659046864.0,74,1
60715,1659046864.820833,88,1
60716,1659046864.850752,88,1
60717,1659046864.898891,946,1
74423,1659046865.0,74,1
60718,1659046865.148255,66,1
60719,1659046865.150825,66,1
60720,1659046865.150878,54,1
60721,1659046865.151077,54,1
60722,1659046865.153608,60,1
60723,1659046865.15364,54,1
60724,1659046865.169562,60,1
60725,1659046865.703001,74,1
60726,1659046865.759956,77,1
74424,1659046867.0,74,1
60727,1659046867.146633,66,1
60728,1659046867.148584,66,1
60729,1659046867.148649,54,1
60730,1659046867.157499,54,1
60731,1659046867.159514,60,1
60732,1659046867.159552,54,1
74425,1659046869.0,74,1
60733,1659046869.145936,66,1
60734,1659046869.148052,66,1
60735,1659046869.1481,54,1
60736,1659046869.14829,54,1
60737,1659046869.150471,60,1
60738,1659046869.150503,54,1
60739,1659046869.875766,88,1
60740,1659046869.891878,88,1
60741,1659046869.976621,740,1
